id,name,model,starship_class,manufacturer,cost_in_credits,length,crew,passengers,max_atmosphering_speed,hyperdrive_rating,mglt,cargo_capacity,consumables,url,created,edited
1,CR90 corvette,CR90 corvette,corvette,Corellian Engineering Corporation,3500000,150,30-165,600,950,2.0,60,3000000,1 year,https://swapi.dev/api/starships/2/,2014-12-10 14:20:33.369000,2014-12-20 21:23:49.867000
2,Star Destroyer,Imperial I-class Star Destroyer,Star Destroyer,Kuat Drive Yards,150000000,"1,600","47,060",n/a,975,2.0,60,36000000,2 years,https://swapi.dev/api/starships/3/,2014-12-10 15:08:19.848000,2014-12-20 21:23:49.870000
3,Sentinel-class landing craft,Sentinel-class landing craft,landing craft,"Sienar Fleet Systems, Cyngus Spaceworks",240000,38,5,75,1000,1.0,70,180000,1 month,https://swapi.dev/api/starships/5/,2014-12-10 15:48:00.586000,2014-12-20 21:23:49.873000
4,Death Star,DS-1 Orbital Battle Station,Deep Space Mobile Battlestation,"Imperial Department of Military Research, Sienar Fleet Systems",1000000000000,120000,"342,953","843,342",n/a,4.0,10,1000000000000,3 years,https://swapi.dev/api/starships/9/,2014-12-10 16:36:50.509000,2014-12-20 21:26:24.783000
5,Millennium Falcon,YT-1300 light freighter,Light freighter,Corellian Engineering Corporation,100000,34.37,4,6,1050,0.5,75,100000,2 months,https://swapi.dev/api/starships/10/,2014-12-10 16:59:45.094000,2014-12-20 21:23:49.880000
6,Y-wing,BTL Y-wing,assault starfighter,Koensayr Manufacturing,134999,14,2,0,1000km,1.0,80,110,1 week,https://swapi.dev/api/starships/11/,2014-12-12 11:00:39.817000,2014-12-20 21:23:49.883000
7,X-wing,T-65 X-wing,Starfighter,Incom Corporation,149999,12.5,1,0,1050,1.0,100,110,1 week,https://swapi.dev/api/starships/12/,2014-12-12 11:19:05.340000,2014-12-20 21:23:49.886000
8,TIE Advanced x1,Twin Ion Engine Advanced x1,Starfighter,Sienar Fleet Systems,unknown,9.2,1,0,1200,1.0,105,150,5 days,https://swapi.dev/api/starships/13/,2014-12-12 11:21:32.991000,2014-12-20 21:23:49.889000
9,Executor,Executor-class star dreadnought,Star dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000,19000,"279,144",38000,n/a,2.0,40,250000000,6 years,https://swapi.dev/api/starships/15/,2014-12-15 12:31:42.547000,2014-12-20 21:23:49.893000
10,Rebel transport,GR-75 medium transport,Medium transport,"Gallofree Yards, Inc.",unknown,90,6,90,650,4.0,20,19000000,6 months,https://swapi.dev/api/starships/17/,2014-12-15 12:34:52.264000,2014-12-20 21:23:49.895000
11,Slave 1,Firespray-31-class patrol and attack,Patrol craft,Kuat Systems Engineering,unknown,21.5,1,6,1000,3.0,70,70000,1 month,https://swapi.dev/api/starships/21/,2014-12-15 13:00:56.332000,2014-12-20 21:23:49.897000
12,Imperial shuttle,Lambda-class T-4a shuttle,Armed government transport,Sienar Fleet Systems,240000,20,6,20,850,1.0,50,80000,2 months,https://swapi.dev/api/starships/22/,2014-12-15 13:04:47.235000,2014-12-20 21:23:49.900000
13,EF76 Nebulon-B escort frigate,EF76 Nebulon-B escort frigate,Escort ship,Kuat Drive Yards,8500000,300,854,75,800,2.0,40,6000000,2 years,https://swapi.dev/api/starships/23/,2014-12-15 13:06:30.813000,2014-12-20 21:23:49.902000
14,Calamari Cruiser,MC80 Liberty type Star Cruiser,Star Cruiser,Mon Calamari shipyards,104000000,1200,5400,1200,n/a,1.0,60,unknown,2 years,https://swapi.dev/api/starships/27/,2014-12-18 10:54:57.804000,2014-12-20 21:23:49.904000
15,A-wing,RZ-1 A-wing Interceptor,Starfighter,"Alliance Underground Engineering, Incom Corporation",175000,9.6,1,0,1300,1.0,120,40,1 week,https://swapi.dev/api/starships/28/,2014-12-18 11:16:34.542000,2014-12-20 21:23:49.907000
16,B-wing,A/SF-01 B-wing starfighter,Assault Starfighter,Slayn & Korpil,220000,16.9,1,0,950,2.0,91,45,1 week,https://swapi.dev/api/starships/29/,2014-12-18 11:18:04.763000,2014-12-20 21:23:49.909000
17,Republic Cruiser,Consular-class cruiser,Space cruiser,Corellian Engineering Corporation,unknown,115,9,16,900,2.0,unknown,unknown,unknown,https://swapi.dev/api/starships/31/,2014-12-19 17:01:31.488000,2014-12-20 21:23:49.912000
18,Droid control ship,Lucrehulk-class Droid Control Ship,Droid control ship,"Hoersch-Kessel Drive, Inc.",unknown,3170,175,139000,n/a,2.0,unknown,4000000000,500 days,https://swapi.dev/api/starships/32/,2014-12-19 17:04:06.323000,2014-12-20 21:23:49.915000
19,Naboo fighter,N-1 starfighter,Starfighter,Theed Palace Space Vessel Engineering Corps,200000,11,1,0,1100,1.0,unknown,65,7 days,https://swapi.dev/api/starships/39/,2014-12-19 17:39:17.582000,2014-12-20 21:23:49.917000
20,Naboo Royal Starship,J-type 327 Nubian royal starship,yacht,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",unknown,76,8,unknown,920,1.8,unknown,unknown,unknown,https://swapi.dev/api/starships/40/,2014-12-19 17:45:03.506000,2014-12-20 21:23:49.919000
21,Scimitar,Star Courier,Space Transport,Republic Sienar Systems,55000000,26.5,1,6,1180,1.5,unknown,2500000,30 days,https://swapi.dev/api/starships/41/,2014-12-20 09:39:56.116000,2014-12-20 21:23:49.922000
22,J-type diplomatic barge,J-type diplomatic barge,Diplomatic barge,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",2000000,39,5,10,2000,0.7,unknown,unknown,1 year,https://swapi.dev/api/starships/43/,2014-12-20 11:05:51.237000,2014-12-20 21:23:49.925000
23,AA-9 Coruscant freighter,Botajef AA-9 Freighter-Liner,freighter,Botajef Shipyards,unknown,390,unknown,30000,unknown,unknown,unknown,unknown,unknown,https://swapi.dev/api/starships/47/,2014-12-20 17:24:23.509000,2014-12-20 21:23:49.928000
24,Jedi starfighter,Delta-7 Aethersprite-class interceptor,Starfighter,Kuat Systems Engineering,180000,8,1,0,1150,1.0,unknown,60,7 days,https://swapi.dev/api/starships/48/,2014-12-20 17:35:23.906000,2014-12-20 21:23:49.930000
25,H-type Nubian yacht,H-type Nubian yacht,yacht,Theed Palace Space Vessel Engineering Corps,unknown,47.9,4,unknown,8000,0.9,unknown,unknown,unknown,https://swapi.dev/api/starships/49/,2014-12-20 17:46:46.847000,2014-12-20 21:23:49.932000
26,Republic Assault ship,Acclamator I-class assault ship,assault ship,Rothana Heavy Engineering,unknown,752,700,16000,unknown,0.6,unknown,11250000,2 years,https://swapi.dev/api/starships/52/,2014-12-20 18:08:42.926000,2014-12-20 21:23:49.935000
27,Solar Sailer,Punworcca 116-class interstellar sloop,yacht,Huppla Pasa Tisc Shipwrights Collective,35700,15.2,3,11,1600,1.5,unknown,240,7 days,https://swapi.dev/api/starships/58/,2014-12-20 18:37:56.969000,2014-12-20 21:23:49.937000
28,Trade Federation cruiser,Providence-class carrier/destroyer,capital ship,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",125000000,1088,600,48247,1050,1.5,unknown,50000000,4 years,https://swapi.dev/api/starships/59/,2014-12-20 19:40:21.902000,2014-12-20 21:23:49.941000
29,Theta-class T-2c shuttle,Theta-class T-2c shuttle,transport,Cygnus Spaceworks,1000000,18.5,5,16,2000,1.0,unknown,50000,56 days,https://swapi.dev/api/starships/61/,2014-12-20 19:48:40.409000,2014-12-20 21:23:49.944000
30,Republic attack cruiser,Senator-class Star Destroyer,star destroyer,"Kuat Drive Yards, Allanteen Six shipyards",59000000,1137,7400,2000,975,1.0,unknown,20000000,2 years,https://swapi.dev/api/starships/63/,2014-12-20 19:52:56.232000,2014-12-20 21:23:49.946000
31,Naboo star skiff,J-type star skiff,yacht,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",unknown,29.2,3,3,1050,0.5,unknown,unknown,unknown,https://swapi.dev/api/starships/64/,2014-12-20 19:55:15.396000,2014-12-20 21:23:49.948000
32,Jedi Interceptor,Eta-2 Actis-class light interceptor,starfighter,Kuat Systems Engineering,320000,5.47,1,0,1500,1.0,unknown,60,2 days,https://swapi.dev/api/starships/65/,2014-12-20 19:56:57.468000,2014-12-20 21:23:49.951000
33,arc-170,Aggressive Reconnaissance-170 starfighte,starfighter,"Incom Corporation, Subpro Corporation",155000,14.5,3,0,1000,1.0,100,110,5 days,https://swapi.dev/api/starships/66/,2014-12-20 20:03:48.603000,2014-12-20 21:23:49.953000
34,Banking clan frigte,Munificent-class star frigate,cruiser,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",57000000,825,200,unknown,unknown,1.0,unknown,40000000,2 years,https://swapi.dev/api/starships/68/,2014-12-20 20:07:11.538000,2014-12-20 21:23:49.956000
35,Belbullab-22 starfighter,Belbullab-22 starfighter,starfighter,Feethan Ottraw Scalable Assemblies,168000,6.71,1,0,1100,6,unknown,140,7 days,https://swapi.dev/api/starships/74/,2014-12-20 20:38:05.031000,2014-12-20 21:23:49.959000
36,V-wing,Alpha-3 Nimbus-class V-wing starfighter,starfighter,Kuat Systems Engineering,102500,7.9,1,0,1050,1.0,unknown,60,15 hours,https://swapi.dev/api/starships/75/,2014-12-20 20:43:04.349000,2014-12-20 21:23:49.961000
