id,name,model,vehicle_class,manufacturer,length,cost_in_credits,crew,passengers,max_atmosphering_speed,cargo_capacity,consumables,url,created,edited
1,Sand Crawler,Digger Crawler,wheeled,Corellia Mining Corporation,36.8 ,150000,46,30,30,50000,2 months,https://swapi.dev/api/vehicles/4/,2014-12-10 15:36:25.724000,2014-12-20 21:30:21.661000
2,T-16 skyhopper,T-16 skyhopper,repulsorcraft,Incom Corporation,10.4 ,14500,1,1,1200,50,0,https://swapi.dev/api/vehicles/6/,2014-12-10 16:01:52.434000,2014-12-20 21:30:21.665000
3,X-34 landspeeder,X-34 landspeeder,repulsorcraft,SoroSuub Corporation,3.4 ,10550,1,1,250,5,unknown,https://swapi.dev/api/vehicles/7/,2014-12-10 16:13:52.586000,2014-12-20 21:30:21.668000
4,TIE/LN starfighter,Twin Ion Engine/Ln Starfighter,starfighter,Sienar Fleet Systems,6.4,unknown,1,0,1200,65,2 days,https://swapi.dev/api/vehicles/8/,2014-12-10 16:33:52.860000,2014-12-20 21:30:21.670000
5,Snowspeeder,t-47 airspeeder,airspeeder,Incom corporation,4.5,unknown,2,0,650,10,none,https://swapi.dev/api/vehicles/14/,2014-12-15 12:22:12,2014-12-20 21:30:21.672000
6,TIE bomber,TIE/sa bomber,space/planetary bomber,Sienar Fleet Systems,7.8,unknown,1,0,850,none,2 days,https://swapi.dev/api/vehicles/16/,2014-12-15 12:33:15.838000,2014-12-20 21:30:21.675000
7,AT-AT,All Terrain Armored Transport,assault walker,"Kuat Drive Yards, Imperial Department of Military Research",20,unknown,5,40,60,1000,unknown,https://swapi.dev/api/vehicles/18/,2014-12-15 12:38:25.937000,2014-12-20 21:30:21.677000
8,AT-ST,All Terrain Scout Transport,walker,"Kuat Drive Yards, Imperial Department of Military Research",2,unknown,2,0,90,200,none,https://swapi.dev/api/vehicles/19/,2014-12-15 12:46:42.384000,2014-12-20 21:30:21.679000
9,Storm IV Twin-Pod cloud car,Storm IV Twin-Pod,repulsorcraft,Bespin Motors,7,75000,2,0,1500,10,1 day,https://swapi.dev/api/vehicles/20/,2014-12-15 12:58:50.530000,2014-12-20 21:30:21.681000
10,Sail barge,Modified Luxury Sail Barge,sail barge,Ubrikkian Industries Custom Vehicle Division,30,285000,26,500,100,2000000,Live food tanks,https://swapi.dev/api/vehicles/24/,2014-12-18 10:44:14.217000,2014-12-20 21:30:21.684000
11,Bantha-II cargo skiff,Bantha-II,repulsorcraft cargo skiff,Ubrikkian Industries,9.5,8000,5,16,250,135000,1 day,https://swapi.dev/api/vehicles/25/,2014-12-18 10:48:03.208000,2014-12-20 21:30:21.688000
12,TIE/IN interceptor,Twin Ion Engine Interceptor,starfighter,Sienar Fleet Systems,9.6,unknown,1,0,1250,75,2 days,https://swapi.dev/api/vehicles/26/,2014-12-18 10:50:28.225000,2014-12-20 21:30:21.691000
13,Imperial Speeder Bike,74-Z speeder bike,speeder,Aratech Repulsor Company,3,8000,1,1,360,4,1 day,https://swapi.dev/api/vehicles/30/,2014-12-18 11:20:04.625000,2014-12-20 21:30:21.693000
14,Vulture Droid,Vulture-class droid starfighter,starfighter,"Haor Chall Engineering, Baktoid Armor Workshop",3.5,unknown,0,0,1200,0,none,https://swapi.dev/api/vehicles/33/,2014-12-19 17:09:53.584000,2014-12-20 21:30:21.697000
15,Multi-Troop Transport,Multi-Troop Transport,repulsorcraft,Baktoid Armor Workshop,31,138000,4,112,35,12000,unknown,https://swapi.dev/api/vehicles/34/,2014-12-19 17:12:04.400000,2014-12-20 21:30:21.700000
16,Armored Assault Tank,Armoured Assault Tank,repulsorcraft,Baktoid Armor Workshop,9.75,unknown,4,6,55,unknown,unknown,https://swapi.dev/api/vehicles/35/,2014-12-19 17:13:29.799000,2014-12-20 21:30:21.703000
17,Single Trooper Aerial Platform,Single Trooper Aerial Platform,repulsorcraft,Baktoid Armor Workshop,2,2500,1,0,400,none,none,https://swapi.dev/api/vehicles/36/,2014-12-19 17:15:09.511000,2014-12-20 21:30:21.705000
18,C-9979 landing craft,C-9979 landing craft,landing craft,Haor Chall Engineering,210,200000,140,284,587,1800000,1 day,https://swapi.dev/api/vehicles/37/,2014-12-19 17:20:36.373000,2014-12-20 21:30:21.707000
